새로운 수업방식에 적응하자
X
인공지능에도 재미를 찾았음 좋겠다.
남은 일수를 세어가면서 열심히 실력을 올려야겠다. A.I 공부는 확실히 재미있는 것 같다.
이제 새로운 시작이니 생각과 마음을 잘 세팅하고 앞으로 파이팅하자
"새로운 만남, 즐거운 적응😊"
변화에 순응
팀 프로젝트를 통해 협업의 중요성을 깨닫고 개인 프로젝트와는 다르게 더 부담과 압박이 있지만 그만큼 짧은 시간 안에 좋은 성과와 소속감의 보람이 있다
팀 프로젝트를 진행하다보면서 많은 변수와 문제가 생긴다. 상황에 따라 잘 대처할 수 있는 역량이 필요한거 같다.
"팀 프로젝트 수행 시, 팀원들의 역량과 배경을 잘 파악하여 너무 무리하지 않고 주어진 시간내에 완료할 수 있는 방향으로 이끄는 것이 중요한 것 같다. 그리고 부족한 부분이나 완성하지 못한 부분이 발생하면, 상황을 잘 판단하여 나눠서 서로 도와가며 완성을 하던지 아니면 과감히 그 부분을 삭제하던지 하는 빠른 판단력과 결정력이 필요한 것 같다."
팀프로젝트 단합성의 중요
변수 문제해결방법
개인프로젝트와 팀프로젝트의 차이를 배웠다. 대상과 역할에 균형이라는 것도 생각해 보았다.  AI과정과 마주할 새로운 프로젝트에 적용해 봐야 겠다.
배움에는 끝이 없다. 내가 배운것이 없어지고 새롭게 바뀔 수도 있는 것이다. 특히 개발언어는 최신 트랜드를 더욱 따라야 한다고 하셨다. 개발자는 계속 공부해야 된다. 프로젝트와 수업과정이 끝난것뿐.
1+1≥2
타이트 한 일정을 보내느라 모두 정말 수고 많았다.
팀으로 움직이는 힘.
하루 동안 많은 이벤트가 있었던 날이였다.

"조별 발표시간도 오랜만에 가져서 좋았고, 선물도 받았고! 책도 읽고 강사님을 위한 파티도 하였다 : )"

아마도 잊지 못할 8월의 마지막 목요일이 될 듯 하다.
"이번 팀 프로젝트로 팀원들과의 의사소통, 코드 작성하며 해야 할 것 등 여러가지를 알게 됬다."
배운 지식들을 꾸준히 유지하도록 공부하고 앞으로 배울 분야도 열심히 임해야겠다
문제 정의를 잘하자 그 무엇보다 가장 중요한게 문제 정의라고 느껴진다
-팀 프로젝트는 협업이다. 기술 능력을 늘리자.
-문제정의 명확하게 하기
"주어진 시간이 짧아서 압박감을 느꼈지만, 팀원분들과의 협력을 통해 그 어려움을 즐기면서 이겨나갈 수 있었다."
"문제정의는 명확히,"
문제해결은 하나씩.

무얼 해도 아쉬움은 남기 마련이다. 그러니 ‘일.단.한.다.’
주어진 시간 안에 효율적으로 프로젝트를 진행하여 완성도 높이기
일희일비는 역시 재밌다.
내일을 위해 쉰다
문제정의를 깔끔하게
다양한 기술들을 사용해보면서 계속해서 발전해 나아가는 것이 가장 중요하다.
팀원 모두가 열심히 준비한 팀프로젝트가 완료되서 뿌듯했고 다른 팀들도 너무 잘 한 것 같아서 나도 성실히 교육에 임해야겠다고 생각했다.
나는 디자인 코드 구성은 할 수 있는데 기능 구현이 부족해서 공부를 해야겠다. 그리고 다음엔 나도 Firebase 써보고 싶다.
밤은 새지말자 지각을 조심하자
ppt 작성 능력 뿐 아니라 디자인적 스킬도 중요하다. 이 영역에서 발표의 의미는(아마) 비즈니스 컨셉이다.
시간을 정해서  빨리 끝내기
발전이 없으면 발전을 합시다!
계속 공부하자! 새로운 게 계속 나오고 배운 거 활용하면서 디벨롭 해나가자!! 좋은 분들도 계시니! 나만 더 잘하면 된다!!
코드 정리 하면서 하자. 막판에 하려니 너무 바쁘다.
유종의미로 막판스퍼트
체력이 짱이다.
오늘은 뭔가 잘 풀려간다 역시 끝까지 해봐야 안다
디자인 하면서 하자
밤은 새지말자
급할수록 돌아가자.
소통을 잘하자
하다 보면 되는구나
팀프로젝트 진행시 유의사항
1. Json File 통일
2. Gradle 통일
3. GitHub를 통해 팀원에게 코드 브리핑
일찍 자고 늦게 일어나기가 좋다.
어떻게든 성공해야된다.
협업이 힘들다고 느꼈던 순간은 다른 사람도 나도 코드를 완벽하게 이해를 못했을 때이다 코드에 대한 이해가 베이스가 되어야 한다
팀프로젝트 거의 끝나간다..
완벽하진 않아도 잘 마치자.
할수 있다면 할 수 있다. 안되는 것은 바꾸면 된다. 그러면 할 수 있다!!!
나 혼자서는 부족하지만 다른 사람들과 함께한다면 어떻게든 해낼 수 있다!!!
함께하는 힘
때론 과감히 포기할 수 있는 용기가 필요하다
오늘 코드합치기를 혼자서 시도해보았다. 생각보다 안 쉬웠다. 그래도 마무리가 에러없이 잘 되어서 다행이라고 생각하고 있다. 다음 프로젝트때에는 더 잘 하겠지!!
"팀 프로젝트를 하는 경우, 자신의 능력을 제대로 파악하고 팀원들과 자주 소통하며 나의 진행상항을 자세히 표현하여 구현이 안되는 부분은 서로 도와가며 해결해가는 방식으로 프로젝트를 진행하면 좋을 것 같다.  팀 프로젝트 일정과 시간을 고려하여 과감히 빼야할 부분은 빼고 꼭 구현해야할 부분은 다같이 분배해서 시간내에 완성하는 것이 중요하다."
컨디션 관리를 잘 해야한다..
심플 이즈 더 베스트
공식문서 사랑해요
더 자주 주변 사람들에게 물어봐서 문제가 커지기 전에 해결하자
오늘 firebase store를 저장하는 기능을 구현하다가 기존에 구현 된 auth 저장 기능을 gpt놈이 날려먹었다 하지만 코드 백업해 놓은 것 보고 그나마 쉽게 해결 할 수 있었다 백업의 중요성
파이팅하자 오늘의 구내식당은 맛있었던 편이었다
재충전은 무조건 도움이 된다. 그러니 쉴 때는 무조건 쉰다.
제대로 하자
"코드 오류 원인 파악하면서 검증 어려운 경우 멈춤의 시점을 판단하는 기준을 정해야 한다. (dependancy, import, path.. 환경 변수가 아닌 경우 등)"
팀 프로젝트 많은 부분에서 많은 교훈을 느낌
즐겁지만 지치고 지치지만 많이 배우고 있음
팀에 누가 안될려고 최선을 다하는데
그 부분이 많은 성장을 느낌
단순하게 해보자.
"내가 만든 로그인 기능과, 디자인 기능이 합쳐져서 앱이 구동되어 기쁘다. 이 맛에 it를 하는것같다"
어려움 속에서도 조금씩 진전을 이루며 성장할 수 있음을 깨달았습니다.
"잠을 푹 자자, 운동하자"
